Computer Science Department Course Enrollments,,,,,
,,,CSC,SE,CPE
,Utilization,0.00,0.00,0.00,0.00
341,# of Sections,,,,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
342,# of Sections,,,,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
348,# of Sections,0,0,0,0
,Total Enrollment,0,0,,0
,Last Waitlist,0,0,,
,Utilization,0.00,0.00,0.00,0.00
349,# of Sections,2,1,1,4
,Total Enrollment,127,66,71,264
,Last Waitlist,35,16,,
,Utilization,211.67,220.00,236.67,220.00
350,# of Sections,3,,,3
,Total Enrollment,83,,,83
,Last Waitlist,6,,,
,Utilization,92.22,0.00,0.00,92.22
353,# of Sections,,,,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
357,# of Sections,3,6,4,13
,Total Enrollment,90,205,132,427
,Last Waitlist,4,34,15,
,Utilization,100.00,113.89,110.00,109.49
358,# of Sections,,,,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
365,# of Sections,0,2,0,2
,Total Enrollment,,131,,131
,Last Waitlist,,29,,
,Utilization,0.00,218.33,0.00,218.33
366,# of Sections,0,0,2,2
,Total Enrollment,,,66,66
,Last Waitlist,,,16,
,Utilization,0.00,0.00,110.00,110.00
369,# of Sections,,,,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
378,# of Sections,0,1,2,3
,Total Enrollment,,22,61,83
,Last Waitlist,,26,20,
,Utilization,0.00,73.33,101.67,92.22
402,# of Sections,2,0,0,2
,Total Enrollment,38,,,38
,Last Waitlist,0,,,
,Utilization,63.33,0.00,0.00,63.33
405,# of Sections,0,1,0,1
,Total Enrollment,,32,,32
,Last Waitlist,,0,,
,Utilization,0.00,106.67,0.00,106.67
406,# of Sections,0,0,1,1
,Total Enrollment,,,31,31
,Last Waitlist,,,0,
,Utilization,0.00,0.00,103.33,103.33
409,# of Sections,0,2,0,2
,Total Enrollment,,68,,68
,Last Waitlist,,7,,
,Utilization,0.00,113.33,0.00,113.33
416,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
419,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
430,# of Sections,2,1,2,5
,Total Enrollment,79,37,65,181
,Last Waitlist,10,22,10,
,Utilization,131.67,123.33,108.33,120.67
431,# of Sections,0,0,1,1
,Total Enrollment,,,29,29
,Last Waitlist,,,3,
,Utilization,0.00,0.00,96.67,96.67
435,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
436,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
445,# of Sections,2,2,2,6
,Total Enrollment,58,47,62,167
,Last Waitlist,10,0,0,
,Utilization,96.67,78.33,103.33,92.78
448,# of Sections,1,0,0,1
,Total Enrollment,20,,,20
,Last Waitlist,5,,,
,Utilization,66.67,0.00,0.00,66.67
450,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
453,# of Sections,1,2,5,8
,Total Enrollment,32,70,146,248
,Last Waitlist,36,37,30,
,Utilization,106.67,116.67,97.33,103.33
454,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Utilization,0.00,0.00,0.00,0.00
458,# of Section,1,1,2,4
,Total Enrollment,81,30,53,164
,Last Waitlist,0,32,35,67
,Utilization,270.00,100.00,88.33,136.67
464,# of Sections,1,1,1,3
,Total Enrollment,27,87,82,196
,Last Waitlist,18,20,29,67
,Utilization,90.00,290.00,273.33,217.78
465,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
466,#of Sections,,,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
468,# of Sections,0,,,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
469,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
471,# of Sections,2,2,0,4
,Total Enrollment,71,74,,145
,Last Waitlist,42,29,,
,Utilization,118.33,123.33,0.00,120.83
473,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
474,# of Sections,0,1,0,1
,Total Enrollment,,35,,35
,Last Waitlist,,3,,
,Utilization,0.00,116.67,0.00,116.67
476,# of Sections,0,0,1,1
,Total Enrollment,,,52,52
,Last Waitlist,,,3,
,Utilization,0.00,0.00,173.33,173.33
478,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
480,# of Sections,1,1,0,2
,Total Enrollment,31,34,,65
,Last Waitlist,38,33,,
,Utilization,103.33,113.33,0.00,108.33
481,# of Sections,1,0,0,1
,Total Enrollment,29,,,29
,Last Waitlist,0,,,
,Utilization,96.67,0.00,0.00,96.67
482,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
484,# of Sections,0,1,1,2
,Total Enrollment,,35,30,65
,Last Waitlist,,8,13,
,Utilization,0.00,116.67,100.00,108.33
485,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
486,# of Sections,1,0,0,1
,Total Enrollment,30,,,30
,Last Waitlist,0,,,
,Utilization,100.00,0.00,0.00,100.00
490,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
508,# of Sections,0,0,1,1
,Total Enrollment,0,,22,22
,Last Waitlist,,,0,
,Utilization,0.00,0.00,73.33,73.33
509,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
515,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
520,# of Sections,0,0,1,1
,Total Enrollment,,,20,20
,Last Waitlist,,,0,
,Utilization,0.00,0.00,66.67,66.67
521,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
530,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
540,# of Sections,0,1,0,1
,Total Enrollment,,20,,20
,Last Waitlist,,0,,
,Utilization,0.00,66.67,0.00,66.67
550,# of Sections,0,0,1,1
,Total Enrollment,,,28,28
,Last Waitlist,,,2,
,Utilization,0.00,0.00,93.33,93.33
556,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
560,# of Sections,1,0,0,1
,Total Enrollment,21,,,21
,Last Waitlist,1,,,
,Utilization,70.00,0.00,0.00,70.00
564,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
566,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
569,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
570,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
572,# of Sections,0,0,1,1
,Total Enrollment,,,23,23
,Last Waitlist,,,0,
,Utilization,0.00,0.00,76.67,76.67
580,# of Sections,0,0,0,0
,Total Enrollment,0,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
581,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
582,# of Sections,1,0,0,1
,Total Enrollment,21,,,21
,Last Waitlist,3,,,
,Utilization,70.00,0.00,0.00,70.00
585,# of Sections,0,0,0,0
,Total Enrollment,0,,,0
,Last Waitlist,0,,,
,Utilization,0.00,0.00,0.00,0.00
590,# of Sections,1,1,0,3
,Total Enrollment,11,5,,16
,Last Waitlist,1,0,,
,Utilization,36.67,16.67,0.00,17.78
,,,,,
,,,,,
,,,,,
SUPERVISORY SECTIONS,,,,,
,,,,,
491,,,,,
,# of Sections,,,,
,Total Enrollment,,,,
492,,,,,
,# of Sections,,,,
,Total Enrollment,,,,
493,,,,,
,# of Sections,,,,
,Total Enrollment,,,,
494,,,,,
,# of Sections,,,,
,Total Enrollment,,,,
495,,,,,
,# of Sections,,,,
,Total Enrollment,,,,
599,,,,,
,# of Sections,,,,
,Total Enrollment,,,,
